bg_geoid,municipio,building_count,osm_pv_count,detected_pv_count,overlap_count,total_detected_area_deg2,detected_pv_rate,annual_flux_mean_kwh_per_kw_yr,flux_pixel_count,median_household_income_usd,total_housing_units,tenure_total,tenure_owner_occupied,tenure_renter_occupied,race_total,nh_white_alone,nh_black_alone,nh_aian_alone,nh_asian_alone,nh_nhpi_alone,nh_other_alone,nh_two_or_more,hispanic_or_latino,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,pct_owner_occupied,pct_bachelor_plus,diversity_index,urban_block_count,total_urban_pop,total_urban_housing_units,urban_land_area_m2,pct_urban_pop,pct_urban_population,pct_urban_housing_units,pct_urban_land_area,is_urban
721270049001,San Juan,354,0,21,0,1.445438667437946e-07,0.059322033898305086,1522.9117735153163,51742,27557.0,446,350,287,63,896,8,0,0,0,0,0,0,888,704,151,65,0,8,0.82,0.3181818181818182,0.017697704081632626,13,873.0,416.0,350736.0,1.2579250720461095,1.2579250720461095,1.1243243243243244,1.0,true
721270049002,San Juan,279,0,8,0,1.0668426724658617e-07,0.02867383512544803,,0,17935.0,434,376,98,278,648,23,0,0,0,0,0,0,625,528,41,31,0,0,0.26063829787234044,0.13636363636363635,0.06846803078798969,7,1026.0,499.0,144381.0,1.7071547420965059,1.7071547420965059,1.521341463414634,1.0,true
721270049003,San Juan,137,0,4,0,8.70721300411391e-08,0.029197080291970802,,0,,363,322,0,322,774,0,0,0,0,0,0,0,774,314,33,0,0,0,0.0,0.10509554140127389,0.0,2,744.0,323.0,117202.0,0.8985507246376812,0.8985507246376812,0.6659793814432989,1.0,true
721270049004,San Juan,52,0,0,0,0.0,0.0,,0,2783.0,371,313,0,313,796,0,0,0,0,0,0,0,796,371,30,36,0,0,0.0,0.1778975741239892,0.0,4,669.0,298.0,47448.0,1.0652866242038217,1.0652866242038217,1.075812274368231,1.0,true
721270050001,San Juan,142,0,15,0,4.878665322619522e-07,0.1056338028169014,,0,13328.0,503,409,70,339,805,0,15,0,0,0,0,0,790,517,52,9,0,27,0.17114914425427874,0.1702127659574468,0.03657266309170182,15,892.0,455.0,346690.0,1.3002915451895043,1.3002915451895043,1.6977611940298507,1.0,true
721270050002,San Juan,372,0,18,0,9.345112693726622e-08,0.04838709677419355,,0,21932.0,450,308,224,84,836,0,0,0,0,0,0,0,836,609,48,42,0,0,0.7272727272727273,0.1477832512315271,0.0,9,688.0,333.0,124400.0,0.7358288770053476,0.7358288770053476,0.74,1.0,true
721270050003,San Juan,255,0,9,0,6.28351149760924e-08,0.03529411764705882,,0,17750.0,280,260,129,131,423,0,0,0,0,0,0,0,423,371,32,24,10,0,0.49615384615384617,0.1778975741239892,0.0,8,629.0,338.0,223914.0,1.0096308186195826,1.0096308186195826,1.1655172413793105,1.0,true
721270050004,San Juan,83,0,18,0,3.4464074742209305e-08,0.21686746987951808,,0,,416,300,0,300,635,0,0,0,0,0,0,0,635,274,0,0,0,0,0.0,0.0,0.0,5,838.0,458.0,60124.0,0.844758064516129,0.844758064516129,0.849721706864564,1.0,true
721270050005,San Juan,462,0,22,0,6.877322304383761e-08,0.047619047619047616,,0,20921.0,412,316,177,139,593,0,0,0,0,0,0,0,593,503,128,27,9,0,0.560126582278481,0.3260437375745527,0.0,14,878.0,419.0,198498.0,0.8599412340842312,0.8599412340842312,1.0371287128712872,1.0,true
721270051011,San Juan,320,0,12,0,9.130767172966879e-08,0.0375,,0,35000.0,249,216,134,82,437,0,0,0,0,0,0,0,437,402,98,16,0,0,0.6203703703703703,0.2835820895522388,0.0,11,577.0,316.0,328892.0,0.8729198184568835,0.8729198184568835,1.022653721682848,1.0,true
721270051012,San Juan,255,0,6,0,2.3842794825287267e-08,0.023529411764705882,,0,21667.0,420,278,116,162,642,0,0,0,0,0,0,0,642,436,86,6,0,21,0.4172661870503597,0.2591743119266055,0.0,8,554.0,322.0,94276.0,1.6011560693641618,1.6011560693641618,1.2337164750957854,1.0,true
721270051013,San Juan,363,0,12,0,5.824013729283299e-08,0.03305785123966942,,0,21250.0,321,264,145,119,725,0,0,0,0,0,0,0,725,501,80,13,19,0,0.5492424242424242,0.22355289421157684,0.0,6,627.0,336.0,167818.0,0.8818565400843882,0.8818565400843882,0.968299711815562,1.0,true
721270051021,San Juan,622,0,25,0,6.225401099545738e-07,0.04019292604501608,,0,19491.0,667,510,294,216,1173,0,0,0,0,0,0,0,1173,872,114,8,0,19,0.5764705882352941,0.16169724770642202,0.0,9,1416.0,757.0,309688.0,1.4075546719681908,1.4075546719681908,1.401851851851852,1.0,true
721270051022,San Juan,462,0,32,0,1.1924166468266248e-06,0.06926406926406926,,0,29718.0,387,317,216,101,705,0,25,0,0,0,0,0,680,617,70,18,0,5,0.6813880126182965,0.1507293354943274,0.06840702177958868,12,685.0,366.0,310691.0,1.0269865067466266,1.0269865067466266,1.0457142857142858,1.0,true
721270051031,San Juan,426,0,8,0,1.6806632335217132e-08,0.018779342723004695,,0,30616.0,369,283,203,80,568,0,0,0,0,0,0,0,568,485,96,15,0,0,0.7173144876325088,0.2288659793814433,0.0,5,608.0,343.0,168517.0,1.1875,1.1875,1.0993589743589745,1.0,true
721270051032,San Juan,292,0,22,0,6.067152040598005e-07,0.07534246575342465,,0,,239,178,104,74,388,0,0,0,0,0,0,0,388,320,116,24,0,0,0.5842696629213483,0.4375,0.0,4,528.0,259.0,149490.0,0.8844221105527639,0.8844221105527639,1.0,1.0,true
721270051033,San Juan,363,0,56,0,2.423521064953449e-06,0.15426997245179064,,0,5561.0,1141,1035,99,936,2552,0,0,0,0,0,0,0,2552,1244,44,0,0,0,0.09565217391304348,0.03536977491961415,0.0,7,1559.0,861.0,389969.0,0.8883190883190883,0.8883190883190883,0.9140127388535032,1.0,true
721270052011,San Juan,379,0,32,0,2.3923249790751206e-07,0.08443271767810026,,0,28750.0,439,349,173,176,800,0,0,0,0,0,0,0,800,616,161,54,0,10,0.49570200573065903,0.3652597402597403,0.0,12,753.0,442.0,180523.0,0.7178265014299333,0.7178265014299333,0.9546436285097192,1.0,true
721270052012,San Juan,329,0,21,0,3.815858229304355e-07,0.06382978723404255,,0,29572.0,383,365,261,104,798,0,0,0,0,0,0,0,798,742,126,65,12,8,0.7150684931506849,0.284366576819407,0.0,8,643.0,353.0,128428.0,1.2509727626459144,1.2509727626459144,1.1966101694915254,1.0,true
