tract_geoid,municipio,building_count,occupied_h3_cell_count,nsrdb_site_count,osm_pv_count,detected_pv_count,any_pv_signal_count,overlap_count,total_detected_area_deg2,osm_pv_rate,osm_labeled_buildings_per_1000,detected_pv_rate,detected_pv_buildings_per_1000,any_pv_signal_rate,any_pv_evidence_buildings_per_1000,nsrdb_multiyear_ghi_mean,nsrdb_multiyear_dni_mean,nsrdb_multiyear_dhi_mean,nsrdb_multiyear_air_temperature_mean,acs_vintage,median_household_income_usd,total_housing_units,tenure_total,tenure_owner_occupied,tenure_renter_occupied,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,language_population_5plus,spanish_speaking_18_64,spanish_english_well_18_64,spanish_english_not_well_18_64,spanish_english_not_at_all_18_64,pct_owner_occupied,pct_bachelor_plus,pct_spanish_speaking_18_64,pct_spanish_english_well_18_64,pct_spanish_english_not_well_18_64,pct_spanish_english_not_at_all_18_64,cdc_svi_2020_location,cdc_svi_2020_overall_percentile,urban_block_count,total_urban_pop,total_urban_housing_units,urban_land_area_m2,pct_urban_pop,pct_urban_population,pct_urban_housing_units,pct_urban_land_area,is_urban
72127001302,San Juan,224,30,1,0,1,1,0,4.1265902661638325e-09,0.0,0.0,0.004464285714285714,4.464285714285714,0.004464285714285714,4.464285714285714,237.61336790517598,245.9914732666416,74.61718366252133,28.145932920645528,2024,3083.0,1941,1834,27,1807,1938,22,17,0,0,3137,1638,84,387,1006,0.014721919302071973,0.020123839009287926,0.5221549250876634,0.05128205128205128,0.23626373626373626,0.6141636141636142,"Census Tract 13.02, San Juan Municipio, Puerto Rico",95.99,10,3889.0,1895.0,270745.0,0.9623855481316506,0.9623855481316506,0.9823742871954381,1.0,true
72127001400,San Juan,515,20,1,5,18,19,4,4.65192074030623e-08,0.009708737864077669,9.70873786407767,0.03495145631067961,34.95145631067961,0.036893203883495145,36.89320388349515,237.61336790517387,245.99147326663942,74.61718366252155,28.145932920645887,2024,24706.0,679,470,181,289,806,214,73,0,13,1008,579,183,101,129,0.3851063829787234,0.37220843672456577,0.5744047619047619,0.3160621761658031,0.17443868739205526,0.22279792746113988,"Census Tract 14, San Juan Municipio, Puerto Rico",97.18,22,943.0,623.0,156787.0,0.9458375125376128,0.9458375125376128,0.7710396039603961,1.0,true
72127001500,San Juan,690,33,2,20,21,29,12,1.492437226932895e-07,0.028985507246376812,28.985507246376812,0.030434782608695653,30.434782608695652,0.042028985507246375,42.028985507246375,237.51273438511674,246.46996476739014,74.1259078878948,28.137811291308463,2024,18555.0,1482,1068,312,756,1537,313,142,141,77,1772,857,336,159,129,0.29213483146067415,0.4378659726740403,0.48363431151241537,0.3920653442240373,0.1855309218203034,0.15052508751458576,"Census Tract 15, San Juan Municipio, Puerto Rico",80.80000000000001,27,1919.0,1484.0,264639.0,0.9968831168831169,0.9968831168831169,0.9979825151311366,1.0,true
72127001600,San Juan,346,36,1,11,21,24,8,1.2917185495717427e-07,0.031791907514450865,31.791907514450866,0.06069364161849711,60.69364161849711,0.06936416184971098,69.36416184971098,237.3178907611774,247.396405758201,73.17471436680805,28.122086434506667,2024,60186.0,2770,2063,1024,1039,2744,1214,390,251,165,2918,1606,423,116,78,0.4963645176926806,0.7361516034985423,0.5503769705277587,0.263387297633873,0.0722291407222914,0.048567870485678705,"Census Tract 16, San Juan Municipio, Puerto Rico",9.0,20,3463.0,2582.0,336633.0,1.4321753515301903,1.4321753515301903,1.3881720430107527,1.0,true
72127001800,San Juan,569,46,2,8,19,24,3,1.4522483176457794e-07,0.014059753954305799,14.0597539543058,0.033391915641476276,33.391915641476274,0.0421792618629174,42.1792618629174,237.76582220489848,248.59772959088914,72.63960604327299,28.123122882614688,2024,47143.0,1412,974,640,334,1768,501,301,159,25,2049,1030,225,147,129,0.6570841889117043,0.5576923076923077,0.5026842362127867,0.21844660194174756,0.14271844660194175,0.12524271844660195,"Census Tract 18, San Juan Municipio, Puerto Rico",58.03,39,2045.0,1472.0,452310.0,1.0276381909547738,1.0276381909547738,0.8835534213685474,1.0,true
72127001900,San Juan,615,51,1,41,47,62,26,2.7983106943804965e-07,0.06666666666666667,66.66666666666667,0.07642276422764227,76.42276422764228,0.1008130081300813,100.8130081300813,240.80930160334196,256.7601490568171,69.0038015436361,28.130165050581134,2024,67216.0,2430,1843,1427,416,3450,1504,634,362,118,3821,2034,447,160,79,0.7742810634834509,0.758840579710145,0.5323213818372153,0.21976401179941002,0.07866273352999016,0.03883972468043265,"Census Tract 19, San Juan Municipio, Puerto Rico",5.64,27,3468.0,2320.0,499866.0,1.1143958868894601,1.1143958868894601,0.9678765123070505,1.0,true
72127002002,San Juan,370,22,2,2,3,4,1,2.315321199342804e-08,0.005405405405405406,5.405405405405405,0.008108108108108109,8.108108108108109,0.010810810810810811,10.81081081081081,238.53516643317522,250.66106220555608,71.72053124737768,28.124903033083953,2024,28750.0,762,501,305,196,948,286,122,41,67,1153,570,152,75,79,0.6087824351297405,0.5443037974683544,0.4943625325238508,0.26666666666666666,0.13157894736842105,0.13859649122807016,"Census Tract 20.02, San Juan Municipio, Puerto Rico",37.53,17,874.0,645.0,137038.0,0.9678848283499446,0.9678848283499446,0.8739837398373984,1.0,true
72127002100,San Juan,666,57,2,6,23,23,6,3.1251661700718014e-07,0.009009009009009009,9.00900900900901,0.03453453453453453,34.53453453453454,0.03453453453453453,34.53453453453454,238.2038493682736,249.77249076941027,72.11632958134909,28.124136413660583,2024,26604.0,1058,562,250,312,688,126,116,40,23,802,459,173,36,134,0.44483985765124556,0.4433139534883721,0.5723192019950125,0.3769063180827887,0.0784313725490196,0.29193899782135074,"Census Tract 21, San Juan Municipio, Puerto Rico",42.620000000000005,30,1257.0,1144.0,492707.0,1.173669467787115,1.173669467787115,1.033423667570009,1.0,true
72127002200,San Juan,477,26,1,14,20,26,8,8.446664886061992e-08,0.029350104821802937,29.350104821802937,0.041928721174004195,41.928721174004195,0.05450733752620545,54.507337526205454,237.3178907611763,247.39640575820204,73.17471436680795,28.122086434506706,2024,25917.0,930,653,296,357,917,295,93,0,27,1188,509,131,98,71,0.45329249617151607,0.4525627044711014,0.42845117845117847,0.25736738703339884,0.1925343811394892,0.13948919449901767,"Census Tract 22, San Juan Municipio, Puerto Rico",54.559999999999995,18,1327.0,898.0,244843.0,1.0868140868140868,1.0868140868140868,0.9846491228070176,1.0,true
72127002300,San Juan,569,39,1,8,20,26,2,1.2845587063690067e-07,0.014059753954305799,14.0597539543058,0.0351493848857645,35.1493848857645,0.04569420035149385,45.69420035149385,237.31789076117585,247.3964057582018,73.17471436680844,28.122086434506734,2024,14224.0,873,552,235,317,905,171,58,0,34,1185,821,142,116,282,0.4257246376811594,0.2906077348066298,0.6928270042194092,0.17295980511571254,0.14129110840438489,0.34348355663824603,"Census Tract 23, San Juan Municipio, Puerto Rico",67.03,38,1263.0,868.0,369532.0,1.4417808219178083,1.4417808219178083,1.0457831325301206,1.0,true
